600.0,10.0,4.0
573.0,32.0,5.0
308.0,10.0,5.0
34.0,47.0,5.0
614.0,32.0,1.0
582.0,75.0,1.0
82.0,58.0,1.0
91.0,27.0,2.0
115.0,1.0,1.0
266.0,84.0,4.0
542.0,3.0,3.0
90.0,17.0,1.0
866.0,90.0,5.0
135.0,59.0,2.0
215.0,82.0,2.0
192.0,84.0,5.0
319.0,54.0,5.0
21.0,69.0,1.0
3.0,98.0,5.0
713.0,83.0,4.0
833.0,73.0,5.0
810.0,92.0,3.0
15.0,86.0,4.0
702.0,56.0,3.0
595.0,37.0,4.0
861.0,85.0,2.0
847.0,47.0,4.0
143.0,70.0,3.0
888.0,99.0,2.0
158.0,91.0,2.0
734.0,66.0,3.0
888.0,16.0,3.0
45.0,82.0,5.0
298.0,48.0,1.0
329.0,79.0,4.0
646.0,97.0,1.0
492.0,90.0,4.0
346.0,40.0,4.0
182.0,80.0,5.0
500.0,26.0,4.0
637.0,37.0,4.0
28.0,70.0,5.0
977.0,95.0,1.0
945.0,18.0,4.0
921.0,57.0,1.0
795.0,82.0,4.0
299.0,75.0,1.0
822.0,50.0,4.0
99.0,55.0,2.0
674.0,98.0,2.0
856.0,35.0,5.0
908.0,44.0,1.0
927.0,72.0,5.0
159.0,47.0,2.0
950.0,17.0,3.0
597.0,11.0,3.0
353.0,42.0,3.0
532.0,5.0,3.0
487.0,57.0,4.0
775.0,72.0,5.0
890.0,93.0,5.0
174.0,3.0,2.0
142.0,8.0,3.0
562.0,8.0,5.0
672.0,81.0,1.0
208.0,94.0,1.0
25.0,38.0,4.0
666.0,43.0,5.0
988.0,63.0,4.0
182.0,10.0,5.0
124.0,98.0,5.0
491.0,12.0,2.0
134.0,99.0,2.0
784.0,87.0,1.0
762.0,38.0,3.0
28.0,65.0,2.0
150.0,22.0,2.0
348.0,49.0,5.0
74.0,36.0,5.0
834.0,3.0,2.0
983.0,30.0,3.0
68.0,70.0,1.0
755.0,84.0,1.0
755.0,27.0,3.0
307.0,51.0,5.0
971.0,2.0,4.0
384.0,93.0,1.0
790.0,82.0,1.0
316.0,16.0,1.0
436.0,60.0,2.0
656.0,95.0,1.0
766.0,97.0,5.0
703.0,38.0,4.0
632.0,90.0,1.0
394.0,93.0,1.0
600.0,69.0,5.0
324.0,26.0,5.0
807.0,50.0,2.0
880.0,85.0,4.0
62.0,96.0,5.0
182.0,92.0,4.0
127.0,97.0,5.0
625.0,92.0,2.0
611.0,42.0,5.0
403.0,56.0,2.0
490.0,60.0,2.0
626.0,58.0,1.0
873.0,18.0,5.0
944.0,26.0,4.0
856.0,41.0,4.0
831.0,5.0,5.0
155.0,80.0,1.0
307.0,84.0,5.0
901.0,9.0,3.0
392.0,54.0,4.0
811.0,2.0,2.0
987.0,59.0,3.0
221.0,72.0,3.0
192.0,53.0,3.0
146.0,32.0,3.0
154.0,61.0,5.0
286.0,72.0,4.0
281.0,88.0,5.0
414.0,71.0,4.0
944.0,69.0,3.0
532.0,75.0,4.0
716.0,68.0,1.0
975.0,85.0,2.0
108.0,70.0,4.0
767.0,44.0,2.0
370.0,75.0,2.0
969.0,76.0,4.0
894.0,36.0,3.0
927.0,38.0,3.0
651.0,51.0,5.0
24.0,52.0,5.0
531.0,9.0,2.0
375.0,6.0,4.0
945.0,84.0,1.0
544.0,41.0,2.0
147.0,29.0,2.0
113.0,59.0,5.0
674.0,24.0,4.0
901.0,47.0,3.0
437.0,75.0,3.0
171.0,73.0,1.0
833.0,95.0,4.0
595.0,40.0,4.0
218.0,88.0,4.0
717.0,13.0,3.0
851.0,98.0,4.0
211.0,35.0,2.0
422.0,56.0,1.0
548.0,13.0,1.0
801.0,30.0,1.0
202.0,76.0,1.0
543.0,59.0,3.0
51.0,53.0,1.0
822.0,94.0,3.0
527.0,77.0,3.0
270.0,2.0,1.0
992.0,-18.0,1.0
70.0,58.0,5.0
933.0,43.0,4.0
799.0,49.0,2.0
81.0,52.0,1.0
28.0,34.0,4.0
717.0,38.0,5.0
757.0,96.0,5.0
721.0,66.0,1.0
266.0,50.0,1.0
358.0,40.0,1.0
625.0,3.0,2.0
422.0,87.0,3.0
523.0,94.0,4.0
712.0,4.0,4.0
742.0,92.0,5.0
757.0,66.0,3.0
